YR,PRD_DE,C1_NM,C2_NM,C3_NM,C4_NM,DT
2011,201103,수도권소계,단독,단독,단독,480
2011,201103,수도권소계,단독,다가구,동수,230
2011,201103,수도권소계,단독,다가구,가구수,1225
2011,201103,수도권소계,다세대,다세대,다세대,1866
2011,201103,수도권소계,연립,연립,연립,378
2011,201103,수도권소계,아파트,아파트,아파트,11951
2011,201103,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1642
2011,201103,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1822
2011,201103,서울,단독,단독,단독,99
2011,201103,서울,단독,다가구,동수,34
2011,201103,서울,단독,다가구,가구수,214
2011,201103,서울,다세대,다세대,다세대,906
2011,201103,서울,연립,연립,연립,12
2011,201103,서울,아파트,아파트,아파트,591
2011,201103,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),5511
2011,201103,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),5564
2011,201103,인천,단독,단독,단독,55
2011,201103,인천,단독,다가구,동수,14
2011,201103,인천,단독,다가구,가구수,67
2011,201103,인천,다세대,다세대,다세대,413
2011,201103,인천,연립,연립,연립,139
2011,201103,인천,아파트,아파트,아파트,4890
2011,201103,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),7752
2011,201103,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),8514
2011,201103,경기,단독,단독,단독,326
2011,201103,경기,단독,다가구,동수,182
2011,201103,경기,단독,다가구,가구수,944
2011,201103,경기,다세대,다세대,다세대,547
2011,201103,경기,연립,연립,연립,227
2011,201103,경기,아파트,아파트,아파트,6470
2011,201103,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),9839
2011,201103,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),16262
2011,201103,지방소계,단독,단독,단독,1303
2011,201103,지방소계,단독,다가구,동수,844
2011,201103,지방소계,단독,다가구,가구수,7267
2011,201103,지방소계,다세대,다세대,다세대,1041
2011,201103,지방소계,연립,연립,연립,59
2011,201103,지방소계,아파트,아파트,아파트,6592
2011,201103,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4526
2011,201103,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),6791
2011,201103,기타광역시,단독,단독,단독,201
2011,201103,기타광역시,단독,다가구,동수,265
2011,201103,기타광역시,단독,다가구,가구수,2530
2011,201103,기타광역시,다세대,다세대,다세대,817
2011,201103,기타광역시,연립,연립,연립,0
2011,201103,기타광역시,아파트,아파트,아파트,3243
2011,201103,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1527
2011,201103,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1736
2011,201103,부산,단독,단독,단독,71
2011,201103,부산,단독,다가구,동수,25
2011,201103,부산,단독,다가구,가구수,234
2011,201103,부산,다세대,다세대,다세대,747
2011,201103,부산,연립,연립,연립,0
2011,201103,부산,아파트,아파트,아파트,684
2011,201103,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1339
2011,201103,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1763
2011,201103,대구,단독,단독,단독,42
2011,201103,대구,단독,다가구,동수,55
2011,201103,대구,단독,다가구,가구수,479
2011,201103,대구,다세대,다세대,다세대,62
2011,201103,대구,연립,연립,연립,0
2011,201103,대구,아파트,아파트,아파트,1180
2011,201103,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1274
2011,201103,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1700
2011,201103,광주,단독,단독,단독,16
2011,201103,광주,단독,다가구,동수,43
2011,201103,광주,단독,다가구,가구수,469
2011,201103,광주,다세대,다세대,다세대,0
2011,201103,광주,연립,연립,연립,0
2011,201103,광주,아파트,아파트,아파트,1215
2011,201103,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),254
2011,201103,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1066
2011,201103,대전,단독,단독,단독,31
2011,201103,대전,단독,다가구,동수,83
2011,201103,대전,단독,다가구,가구수,895
2011,201103,대전,다세대,다세대,다세대,8
2011,201103,대전,연립,연립,연립,0
2011,201103,대전,아파트,아파트,아파트,132
2011,201103,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),132
2011,201103,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),526
2011,201103,울산,단독,단독,단독,41
2011,201103,울산,단독,다가구,동수,59
2011,201103,울산,단독,다가구,가구수,453
2011,201103,울산,다세대,다세대,다세대,0
2011,201103,울산,연립,연립,연립,0
2011,201103,울산,아파트,아파트,아파트,32
2011,201103,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),5313
2011,201103,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),9471
2011,201103,기타지방,단독,단독,단독,1102
2011,201103,기타지방,단독,다가구,동수,579
2011,201103,기타지방,단독,다가구,가구수,4737
2011,201103,기타지방,다세대,다세대,다세대,224
2011,201103,기타지방,연립,연립,연립,59
2011,201103,기타지방,아파트,아파트,아파트,3349
2011,201103,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),123
2011,201103,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),224
2011,201103,강원,단독,단독,단독,97
2011,201103,강원,단독,다가구,동수,26
2011,201103,강원,단독,다가구,가구수,127
2011,201103,강원,다세대,다세대,다세대,0
2011,201103,강원,연립,연립,연립,0
2011,201103,강원,아파트,아파트,아파트,0
2011,201103,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),498
2011,201103,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),982
2011,201103,충북,단독,단독,단독,103
2011,201103,충북,단독,다가구,동수,75
2011,201103,충북,단독,다가구,가구수,559
2011,201103,충북,다세대,다세대,다세대,16
2011,201103,충북,연립,연립,연립,0
2011,201103,충북,아파트,아파트,아파트,304
2011,201103,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),348
2011,201103,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),856
2011,201103,충남,단독,단독,단독,137
2011,201103,충남,단독,다가구,동수,47
2011,201103,충남,단독,다가구,가구수,555
2011,201103,충남,다세대,다세대,다세대,128
2011,201103,충남,연립,연립,연립,0
2011,201103,충남,아파트,아파트,아파트,36
2011,201103,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),791
2011,201103,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1628
2011,201103,전북,단독,단독,단독,105
2011,201103,전북,단독,다가구,동수,100
2011,201103,전북,단독,다가구,가구수,937
2011,201103,전북,다세대,다세대,다세대,0
2011,201103,전북,연립,연립,연립,16
2011,201103,전북,아파트,아파트,아파트,570
2011,201103,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1598
2011,201103,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1897
2011,201103,전남,단독,단독,단독,194
2011,201103,전남,단독,다가구,동수,45
2011,201103,전남,단독,다가구,가구수,344
2011,201103,전남,다세대,다세대,다세대,16
2011,201103,전남,연립,연립,연립,8
2011,201103,전남,아파트,아파트,아파트,1335
2011,201103,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),947
2011,201103,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1845
2011,201103,경북,단독,단독,단독,223
2011,201103,경북,단독,다가구,동수,81
2011,201103,경북,단독,다가구,가구수,979
2011,201103,경북,다세대,다세대,다세대,24
2011,201103,경북,연립,연립,연립,16
2011,201103,경북,아파트,아파트,아파트,603
2011,201103,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),892
2011,201103,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1806
2011,201103,경남,단독,단독,단독,196
2011,201103,경남,단독,다가구,동수,171
2011,201103,경남,단독,다가구,가구수,1085
2011,201103,경남,다세대,다세대,다세대,40
2011,201103,경남,연립,연립,연립,19
2011,201103,경남,아파트,아파트,아파트,466
2011,201103,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),116
2011,201103,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),233
2011,201103,제주,단독,단독,단독,47
2011,201103,제주,단독,다가구,동수,34
2011,201103,제주,단독,다가구,가구수,151
