월(Monthly),구  분,대분류,중분류,소분류,착공실적
2011-03,지방소계,단독,다가구,가구수,14,595
2011-03,지방소계,다세대,다세대,다세대,1,822
2011-03,지방소계,연립,연립,연립,613
2011-03,지방소계,아파트,아파트,아파트,4,409
2011-03,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),5,085
2011-03,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),9,015
2011-03,기타광역시,단독,단독,단독,348
2011-03,기타광역시,단독,다가구,동수,500
2011-03,기타광역시,단독,다가구,가구수,4,430
2011-03,기타광역시,다세대,다세대,다세대,1,199
2011-03,기타광역시,연립,연립,연립,68
2011-03,기타광역시,아파트,아파트,아파트,2,970
2011-03,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2,218
2011-03,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,667
2011-03,부산,단독,단독,단독,117
2011-03,부산,단독,다가구,동수,66
2011-03,부산,단독,다가구,가구수,515
2011-03,부산,다세대,다세대,다세대,1,074
2011-03,부산,연립,연립,연립,16
2011-03,부산,아파트,아파트,아파트,945
2011-03,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),183
2011-03,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,206
2011-03,대구,단독,단독,단독,43
2011-03,대구,단독,다가구,동수,120
2011-03,대구,단독,다가구,가구수,1,143
2011-03,대구,다세대,다세대,다세대,20
2011-03,대구,연립,연립,연립,0
2011-03,대구,아파트,아파트,아파트,0
2011-03,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),125
2011-03,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),664
2011-03,광주,단독,단독,단독,44
2011-03,광주,단독,다가구,동수,57
2011-03,광주,단독,다가구,가구수,596
2011-03,광주,다세대,다세대,다세대,24
2011-03,광주,연립,연립,연립,0
2011-03,광주,아파트,아파트,아파트,0
2011-03,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),860
2011-03,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,979
2011-03,대전,단독,단독,단독,67
2011-03,대전,단독,다가구,동수,130
2011-03,대전,단독,다가구,가구수,1,249
2011-03,대전,다세대,다세대,다세대,24
2011-03,대전,연립,연립,연립,52
2011-03,대전,아파트,아파트,아파트,587
2011-03,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,699
2011-03,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,499
2011-03,울산,단독,단독,단독,77
2011-03,울산,단독,다가구,동수,127
2011-03,울산,단독,다가구,가구수,927
2011-03,울산,다세대,다세대,다세대,57
2011-03,울산,연립,연립,연립,0
2011-03,울산,아파트,아파트,아파트,1,438
2011-03,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),7,347
2011-03,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),16,235
2011-03,기타지방,단독,단독,단독,3,463
2011-03,기타지방,단독,다가구,동수,1,277
2011-03,기타지방,단독,다가구,가구수,10,165
2011-03,기타지방,다세대,다세대,다세대,623
2011-03,기타지방,연립,연립,연립,545
2011-03,기타지방,아파트,아파트,아파트,1,439
2011-03,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),642
2011-03,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,277
2011-03,강원,단독,단독,단독,389
2011-03,강원,단독,다가구,동수,139
2011-03,강원,단독,다가구,가구수,774
2011-03,강원,다세대,다세대,다세대,0
2011-03,강원,연립,연립,연립,0
2011-03,강원,아파트,아파트,아파트,114
2011-03,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),954
2011-03,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,112
2011-03,충북,단독,단독,단독,478
2011-03,충북,단독,다가구,동수,153
2011-03,충북,단독,다가구,가구수,1,311
2011-03,충북,다세대,다세대,다세대,93
2011-03,충북,연립,연립,연립,184
2011-03,충북,아파트,아파트,아파트,46
2011-03,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,781
2011-03,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3,721
2011-03,충남,단독,단독,단독,512
2011-03,충남,단독,다가구,동수,190
2011-03,충남,단독,다가구,가구수,2,130
2011-03,충남,다세대,다세대,다세대,84
2011-03,충남,연립,연립,연립,80
2011-03,충남,아파트,아파트,아파트,915
2011-03,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),627
