"연도","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
2012,"송지만","넥센",14,46,40,7,0,2,4,4,9,2,0.219,0.175,0.261,0.175,0.436,0.223,-0.29
2012,"정보명","롯데",18,34,31,5,0,2,2,3,9,0,0.227,0.161,0.235,0.161,0.396,0.203,-0.29
2012,"유강남","LG",13,28,24,3,0,1,1,0,5,0,0.15,0.125,0.154,0.125,0.279,0.135,-0.29
2012,"모상기","삼성",18,17,16,1,0,0,0,0,8,0,0.125,0.063,0.118,0.063,0.181,0.098,-0.3
2012,"지석훈","넥센",61,121,104,18,1,11,11,10,24,1,0.215,0.173,0.271,0.26,0.531,0.255,-0.31
2012,"임훈","SK",117,348,314,84,0,36,26,18,56,3,0.324,0.268,0.308,0.318,0.626,0.293,-0.34
2012,"김재환*","두산",13,43,39,5,1,7,1,4,9,0,0.138,0.128,0.209,0.231,0.44,0.215,-0.35
2012,"이준호","KIA",113,295,255,58,0,25,21,29,48,4,0.276,0.227,0.303,0.306,0.609,0.289,-0.38
2012,"김재율","LG",18,40,35,3,1,3,5,4,10,0,0.08,0.086,0.175,0.171,0.346,0.176,-0.38
2012,"윤정우","LG",29,22,22,2,0,4,0,0,7,4,0.133,0.091,0.091,0.091,0.182,0.084,-0.4
2012,"김용의","LG",83,218,194,48,2,22,21,16,50,5,0.317,0.247,0.3,0.299,0.599,0.281,-0.42
2012,"신본기","롯데",50,67,57,6,0,9,3,9,17,1,0.15,0.105,0.239,0.105,0.344,0.196,-0.44
2012,"황동채","롯데",73,66,58,10,0,11,6,5,17,1,0.244,0.172,0.25,0.172,0.422,0.215,-0.45
2012,"박재상","SK",100,322,269,58,4,37,23,34,60,6,0.261,0.216,0.304,0.305,0.609,0.292,-0.46
2012,"송산","KIA",39,90,80,13,0,6,11,5,25,0,0.236,0.163,0.221,0.188,0.409,0.201,-0.47
2012,"정훈","롯데",78,137,125,25,2,12,12,3,42,1,0.28,0.2,0.217,0.296,0.513,0.232,-0.5
2012,"신경현","한화",76,171,149,27,0,10,9,13,25,1,0.214,0.181,0.253,0.181,0.434,0.219,-0.55
2012,"정수빈","두산",101,357,315,74,0,46,32,18,46,24,0.273,0.235,0.281,0.308,0.589,0.273,-0.6
2012,"조영훈","KIA",64,214,187,36,6,24,33,19,53,1,0.229,0.193,0.267,0.332,0.599,0.279,-0.66
2012,"조영훈","삼성",25,48,43,10,0,6,3,4,11,0,0.313,0.233,0.298,0.256,0.554,0.269,-0.68
2012,"김재현","SK",84,93,89,19,0,22,5,0,18,12,0.268,0.213,0.213,0.258,0.471,0.213,-0.69
2012,"하주석","한화",70,141,127,22,1,10,4,9,50,7,0.276,0.173,0.228,0.205,0.433,0.211,-0.73
2012,"문규현","롯데",105,277,244,50,0,17,17,13,50,0,0.255,0.205,0.255,0.246,0.501,0.238,-0.77
2012,"신종길","KIA",44,92,83,13,1,10,2,5,26,5,0.211,0.157,0.202,0.265,0.467,0.216,-0.78
2012,"이대형","LG",101,291,258,46,1,32,19,25,53,25,0.22,0.178,0.253,0.236,0.489,0.235,-0.91
2012,"이성열","넥센",50,158,139,22,4,8,13,14,53,3,0.217,0.158,0.253,0.273,0.526,0.254,-1.02
2012,"김주형","KIA",56,129,117,18,3,8,12,6,35,0,0.185,0.154,0.198,0.248,0.446,0.208,-1.09
2012,"조중근","넥센",45,112,95,13,1,3,5,10,31,1,0.185,0.137,0.222,0.168,0.39,0.2,-1.13
2012,"오재일","넥센",54,146,135,23,4,9,17,7,39,0,0.2,0.17,0.207,0.281,0.488,0.224,-1.31
2012,"프록터","두산",4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"손승락","넥센",2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"박성훈","넥센",2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"김영훈","삼성",2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"박정진","한화",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"마일영","한화",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"안승민","한화",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"유동훈","KIA",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"진해수","KIA",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"이정훈","넥센",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"김병현","넥센",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"오주원","넥센",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"김세현","넥센",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"김광삼","LG",1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"봉중근","LG",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"오승환","삼성",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2012,"김태훈","SK",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2013,"박병호","넥센",128,556,450,143,37,91,117,92,96,10,0.328,0.318,0.437,0.602,1.039,0.451,6.75
2013,"최정","SK",120,525,434,137,28,75,83,64,109,24,0.365,0.316,0.429,0.551,0.98,0.432,6.69
2013,"박석민","삼성",117,474,396,126,18,61,76,54,73,4,0.352,0.318,0.425,0.515,0.94,0.423,5.44
2013,"손아섭","롯데",128,568,498,172,11,83,69,64,88,36,0.4,0.345,0.421,0.474,0.895,0.405,5.19
2013,"강정호","넥센",126,532,450,131,22,67,96,68,109,15,0.335,0.291,0.387,0.489,0.876,0.391,5
2013,"채태인","삼성",94,342,299,114,11,52,54,38,70,4,0.472,0.381,0.459,0.542,1.001,0.452,4.19
2013,"최형우","삼성",128,573,511,156,29,80,98,47,91,2,0.318,0.305,0.366,0.53,0.896,0.395,4.07
2013,"정성훈","LG",121,477,407,127,9,64,62,59,58,13,0.343,0.312,0.405,0.437,0.842,0.387,3.93
2013,"나지완","KIA",125,522,435,125,21,57,96,62,111,7,0.338,0.287,0.394,0.474,0.868,0.392,3.57
2013,"박용택","LG",125,539,476,156,7,79,67,52,71,13,0.368,0.328,0.393,0.435,0.828,0.379,3.56
2013,"김태균","한화",101,430,345,110,10,41,52,73,67,0,0.368,0.319,0.444,0.475,0.919,0.415,3.47
2013,"민병헌","두산",119,449,383,122,9,71,65,40,62,27,0.354,0.319,0.387,0.48,0.867,0.39,3.4
2013,"이종욱","두산",110,456,401,123,6,77,52,38,56,30,0.343,0.307,0.369,0.439,0.808,0.369,3.27
2013,"김민성","넥센",128,523,458,129,15,60,72,42,84,7,0.314,0.282,0.36,0.441,0.801,0.363,3.04
2013,"오지환","LG",124,514,441,113,9,81,47,54,113,30,0.323,0.256,0.347,0.399,0.746,0.343,2.84
2013,"김강민","SK",105,397,352,106,10,39,55,36,54,10,0.33,0.301,0.37,0.466,0.836,0.375,2.81
2013,"배영섭","삼성",112,475,392,116,2,66,38,52,63,23,0.345,0.296,0.403,0.372,0.775,0.366,2.81
2013,"박정권","SK",110,434,363,106,18,56,70,64,79,4,0.324,0.292,0.394,0.501,0.895,0.396,2.8
2013,"김현수","두산",122,510,434,131,16,63,90,62,71,2,0.32,0.302,0.382,0.47,0.852,0.375,2.76
2013,"이범호","KIA",122,516,436,108,24,56,73,62,79,0,0.249,0.248,0.35,0.452,0.802,0.358,2.6
2013,"김상수","삼성",115,421,371,111,7,57,44,30,43,14,0.318,0.299,0.354,0.418,0.772,0.351,2.58
2013,"정근우","SK",112,476,407,114,9,64,35,50,48,28,0.299,0.28,0.368,0.408,0.776,0.354,2.54
