월(Monthly),구  분,대분류,중분류,소분류,사용검사실적
2010-10,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),907
2010-10,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,299
2010-10,울산,단독,단독,단독,40
2010-10,울산,단독,다가구,동수,61
2010-10,울산,단독,다가구,가구수,453
2010-10,울산,다세대,다세대,다세대,0
2010-10,울산,연립,연립,연립,0
2010-10,울산,아파트,아파트,아파트,806
2010-10,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),8,925
2010-10,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),13,644
2010-10,기타지방,단독,단독,단독,2,218
2010-10,기타지방,단독,다가구,동수,673
2010-10,기타지방,단독,다가구,가구수,5,392
2010-10,기타지방,다세대,다세대,다세대,301
2010-10,기타지방,연립,연립,연립,88
2010-10,기타지방,아파트,아파트,아파트,5,645
2010-10,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,237
2010-10,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,399
2010-10,강원,단독,단독,단독,300
2010-10,강원,단독,다가구,동수,51
2010-10,강원,단독,다가구,가구수,213
2010-10,강원,다세대,다세대,다세대,16
2010-10,강원,연립,연립,연립,0
2010-10,강원,아파트,아파트,아파트,870
2010-10,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2,142
2010-10,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,922
2010-10,충북,단독,단독,단독,262
2010-10,충북,단독,다가구,동수,99
2010-10,충북,단독,다가구,가구수,879
2010-10,충북,다세대,다세대,다세대,68
2010-10,충북,연립,연립,연립,0
2010-10,충북,아파트,아파트,아파트,1,713
2010-10,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),974
2010-10,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,985
2010-10,충남,단독,단독,단독,326
2010-10,충남,단독,다가구,동수,91
2010-10,충남,단독,다가구,가구수,1,102
2010-10,충남,다세대,다세대,다세대,77
2010-10,충남,연립,연립,연립,16
2010-10,충남,아파트,아파트,아파트,464
2010-10,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),333
